# Written by the BoltzWann module of the Wannier90 code.
# [Electrical conductivity in SI units, i.e. in 1/Ohm/m]
# Mu(eV) Temp(K) ElCond_xx ElCond_xy ElCond_yy ElCond_xz ElCond_yz ElCond_zz
  -4.439610813       300.0000000       5365.902924       284.6417083       775.4260096       6.973764686      -1.026234754      0.1529100988E-01
  -4.434610813       300.0000000       4673.042153       256.3526925       699.6348098       6.025440614     -0.9278424077      0.1318962438E-01
  -4.429610813       300.0000000       4040.371585       228.1486317       623.7349957       5.173222276     -0.8283346309      0.1130922402E-01
  -4.424610813       300.0000000       3470.537729       200.8855942       550.0687863       4.416301360     -0.7311724030      0.9644577779E-02
  -4.419610813       300.0000000       2963.602202       175.2009402       480.4175922       3.751043094     -0.6389640438      0.8185198991E-02
  -4.414610813       300.0000000       2517.559169       151.5196775       415.9989533       3.171768347     -0.5534870533      0.6916876419E-02
  -4.409610813       300.0000000       2128.886819       130.0789976       357.5198736       2.671479839     -0.4757821035      0.5823085511E-02
  -4.404610813       300.0000000       1793.068950       110.9626045       305.2626598       2.242485183     -0.4062857101      0.4886196989E-02
  -4.399610813       300.0000000       1505.045891       94.13782955       259.1826376       1.876894619     -0.3449739578      0.4088441910E-02
  -4.394610813       300.0000000       1259.575448       79.49061064       219.0028292       1.566991275     -0.2914980540      0.3412628158E-02
  -4.389610813       300.0000000       1051.501292       66.85550693       184.2966608       1.305485259     -0.2453007356      0.2842628774E-02
  -4.384610813       300.0000000       875.9369805       56.03961178       154.5547413       1.085670142     -0.2057091586      0.2363677282E-02
  -4.379610813       300.0000000       728.3794761       46.84039008       129.2352405      0.9015028349     -0.1720043879      0.1962510632E-02
  -4.374610813       300.0000000       604.7677087       39.05813243       107.7994627      0.7476270062     -0.1434701658      0.1627399488E-02
  -4.369610813       300.0000000       501.5009259       32.50400790       89.73515994      0.6193575503     -0.1194247357      0.1348100764E-02
  -4.364610813       300.0000000       415.4294974       27.00473785       74.57034270      0.5126402333     -0.9923964482E-01  0.1115760853E-02
  -4.359610813       300.0000000       343.8282701       22.40481508       61.88012805      0.4239972723     -0.8234906806E-01  0.9227913859E-03
  -4.354610813       300.0000000       284.3600767       18.56703441       51.28875798      0.3504665959     -0.6825258720E-01  0.7627332682E-03
  -4.349610813       300.0000000       235.0348261       15.37193099       42.46846143      0.2895400765     -0.5651370923E-01  0.6301198210E-03
  -4.344610813       300.0000000       194.1678478       12.71656782       35.13640785      0.2391041226     -0.4675581607E-01  0.5203459109E-03
  -4.339610813       300.0000000       160.3398246       10.51298469       29.05064094      0.1973846172     -0.3865674495E-01  0.4295470988E-03
  -4.334610813       300.0000000       132.3596719       8.686519930       24.00559808      0.1628972061     -0.3194281348E-01  0.3544907874E-03
  -4.329610813       300.0000000       109.2310437       7.174140952       19.82760761      0.1344032736     -0.2638281562E-01  0.2924799799E-03
  -4.324610813       300.0000000       90.12268834       5.922865189       16.37060300      0.1108715217     -0.2178230793E-01  0.2412693840E-03
  -4.319610813       300.0000000       74.34259418       4.888315853       13.51218583      0.9144481689E-01 -0.1797836201E-01  0.1989930767E-03
  -4.314610813       300.0000000       61.31569130       4.033431750       11.15009785      0.7541183425E-01 -0.1483486331E-01  0.1641026747E-03
  -4.309610813       300.0000000       50.56478974       3.327334492       9.199116460      0.6218297538E-01 -0.1223837496E-01  0.1353148455E-03
  -4.304610813       300.0000000       41.69439717       2.744346780       7.588359617      0.5127002969E-01 -0.1009454761E-01  0.1115669940E-03
  -4.299610813       300.0000000       34.37705723       2.263150106       6.258970540      0.4226907505E-01 -0.8325035596E-02  0.9198001616E-04
  -4.294610813       300.0000000       28.34186717       1.866067705       5.162144810      0.3484615393E-01 -0.6864869293E-02  0.7582710477E-04
  -4.289610813       300.0000000       23.36486198       1.538457888       4.257460027      0.2872531023E-01 -0.5660230492E-02  0.6250770013E-04
  -4.284610813       300.0000000       19.26098485       1.268203275       3.511468880      0.2367862147E-01 -0.4666578454E-02  0.5152578870E-04
  -4.279610813       300.0000000       15.87739843       1.045282463       2.896519000      0.1951791005E-01 -0.3847077807E-02  0.4247185878E-04
  -4.274610813       300.0000000       13.08792353      0.8614119340       2.389766396      0.1608786163E-01 -0.3171283957E-02  0.3500792093E-04
  -4.269610813       300.0000000       10.78842273      0.7097474612       1.972353040      0.1326031939E-01 -0.2614046740E-02  0.2885508855E-04
  -4.264610813       300.0000000       8.892973222      0.5846356087       1.628722906      0.1092955819E-01 -0.2154598036E-02  0.2378329211E-04
  -4.259610813       300.0000000       7.330697447      0.4814072589       1.346054362      0.9008373938E-02 -0.1775793799E-02  0.1960276788E-04
  -4.254610813       300.0000000       6.043140714      0.3962062622       1.113790013      0.7424849785E-02 -0.1463485254E-02  0.1615702017E-04
  -4.249610813       300.0000000       4.982103091      0.3258473605      0.9232479948      0.6119683692E-02 -0.1205997853E-02  0.1331700532E-04
  -4.244610813       300.0000000       4.107847971      0.2676984457      0.7673012705      0.5043980953E-02 -0.9936999030E-03  0.1097632777E-04
  -4.239610813       300.0000000       3.387622705      0.2195830044      0.6401136381      0.4157431567E-02 -0.8186457156E-03  0.9047273768E-05
  -4.234610813       300.0000000       2.794437553      0.1796992705      0.5369230775      0.3426805858E-02 -0.6742805519E-03  0.7457537680E-05
  -4.229610813       300.0000000       2.306058330      0.1465531757      0.4538646522      0.2824713156E-02 -0.5551967717E-03  0.6147520843E-05
  -4.224610813       300.0000000       1.904175770      0.1189026667      0.3878265642      0.2328577786E-02 -0.4569323500E-03  0.5068103370E-05
  -4.219610813       300.0000000       1.573720990      0.9571135698E-01  0.3363341224      0.1919794521E-02 -0.3758044188E-03  0.4178806541E-05
  -4.214610813       300.0000000       1.302301743      0.7610981400E-01  0.2974573813      0.1583032195E-02 -0.3087717324E-03  0.3446277662E-05
  -4.209610813       300.0000000       1.079738571      0.5936305372E-01  0.2697390615      0.1305659607E-02 -0.2533209986E-03  0.2843041114E-05
  -4.204610813       300.0000000      0.8976836116      0.4484304278E-01  0.2521400965      0.1077272367E-02 -0.2073728752E-03  0.2346469103E-05
  -4.199610813       300.0000000      0.7493078906      0.3200518765E-01  0.2440007982      0.8893030259E-03 -0.1692041533E-03  0.1937933772E-05
  -4.194610813       300.0000000      0.6290454333      0.2036793724E-01  0.2450162073      0.7346999726E-03 -0.1373832365E-03  0.1602109013E-05
  -4.189610813       300.0000000      0.5323846532      0.9494739315E-02  0.2552247193      0.6076630813E-03 -0.1107165178E-03  0.1326395924E-05
  -4.184610813       300.0000000      0.4556992270     -0.1022322511E-02  0.2750095694      0.5034262433E-03 -0.8820365640E-04  0.1100450423E-05
  -4.179610813       300.0000000      0.3961121324     -0.1157782238E-01  0.3051132399      0.4180786420E-03 -0.6900008467E-04  0.9157953538E-06
  -4.174610813       300.0000000      0.3513877668     -0.2256778843E-01  0.3466653331      0.3484180832E-03 -0.5238534682E-04  0.7655025604E-06
  -4.169610813       300.0000000      0.3198481069     -0.3440455527E-01  0.4012249590      0.2918308920E-03 -0.3773608460E-04  0.6439330347E-06
  -4.164610813       300.0000000      0.3003097733     -0.4753222901E-01  0.4708392278      0.2461938734E-03 -0.2450265962E-04  0.5465253982E-06
  -4.159610813       300.0000000      0.2920396409     -0.6244334385E-01  0.5581200398      0.2097946668E-03 -0.1218853729E-04  0.4696247953E-06
  -4.154610813       300.0000000      0.2947273330     -0.7969733422E-01  0.6663420519      0.1812675080E-03 -0.3316596070E-06  0.4103457842E-06
  -4.149610813       300.0000000      0.3084735672     -0.9994151400E-01  0.7995654891      0.1595419901E-03  0.1151289103E-04  0.3664640866E-06
  -4.144610813       300.0000000      0.3337939138     -0.1239353483      0.9627883998      0.1438029036E-03  0.2378958756E-04  0.3363331369E-06
  -4.139610813       300.0000000      0.3716381066     -0.1525789258       1.162134054      0.1334596478E-03  0.3695913995E-04  0.3188223024E-06
  -4.134610813       300.0000000      0.4234256228     -0.1869466958       1.405080491      0.1281240675E-03  0.5151578942E-04  0.3132744563E-06
  -4.129610813       300.0000000      0.4910988604     -0.2283277315       1.700740805      0.1275958820E-03  0.6800586513E-04  0.3194813107E-06
  -4.124610813       300.0000000      0.5771958945     -0.2782740198       2.060204621      0.1318551594E-03  0.8704830133E-04  0.3376755840E-06
  -4.119610813       300.0000000      0.6849455235     -0.3386585803       2.496953527      0.1410615512E-03  0.1093578874E-03  0.3685397056E-06
  -4.114610813       300.0000000      0.8183881412     -0.4117455744       3.027365920      0.1555602572E-03  0.1357721268E-03  0.4132313796E-06
  -4.109610813       300.0000000      0.9825269303     -0.5002750096       3.671330073      0.1758949400E-03  0.1672827195E-03  0.4734269613E-06
  -4.104610813       300.0000000       1.183514985     -0.6075651798       4.452988190      0.2028280669E-03  0.2050728554E-03  0.5513842637E-06
  -4.099610813       300.0000000       1.428885290     -0.7376366270       5.401639028      0.2373694360E-03  0.2505617337E-03  0.6500271368E-06
  -4.094610813       300.0000000       1.727832056     -0.8953621944       6.552832480      0.2808139411E-03  0.3054579942E-03  0.7730549704E-06
  -4.089610813       300.0000000       2.091553756      -1.086648677       7.949696434      0.3347899768E-03  0.3718240935E-03  0.9250811996E-06
  -4.084610813       300.0000000       2.533670449      -1.318656705       9.644544647      0.4013202686E-03  0.4521540816E-03  0.1111805962E-05
  -4.079610813       300.0000000       3.070730605      -1.600066850       11.70082439      0.4828973733E-03  0.5494677550E-03  0.1340229318E-05
  -4.074610813       300.0000000       3.722825819      -1.941401537       14.19547460      0.5825766182E-03  0.6674248038E-03  0.1618912930E-05
  -4.069610813       300.0000000       4.514335533      -2.355414284       17.22177969      0.7040898817E-03  0.8104633623E-03  0.1958299879E-05
  -4.064610813       300.0000000       5.474828328      -2.857560012       20.89282097      0.8519843510E-03  0.9839683453E-03  0.2371104387E-05
  -4.059610813       300.0000000       6.640151578      -3.466562851       25.34564797      0.1031791273E-02  0.1194476154E-02  0.2872785769E-05
  -4.054610813       300.0000000       8.053747380      -4.205100914       30.74631530      0.1250230747E-02  0.1449923831E-02  0.3482123896E-05
  -4.049610813       300.0000000       9.768239749      -5.100631073       37.29595823      0.1515459836E-02  0.1759952581E-02  0.4221917105E-05
  -4.044610813       300.0000000       11.84734626      -6.186380758       45.23811166      0.1837372688E-02  0.2136277897E-02  0.5119827696E-05
  -4.039610813       300.0000000       14.36817647      -7.502538267       54.86751320      0.2227963049E-02  0.2593141403E-02  0.6209405268E-05
  -4.034610813       300.0000000       17.42398966      -9.097677847       66.54067065      0.2701761469E-02  0.3147863144E-02  0.7531324106E-05
  -4.029610813       300.0000000       21.12749538      -11.03046074       80.68851762      0.3276361686E-02  0.3821517638E-02  0.9134877848E-05
  -4.024610813       300.0000000       25.61479143      -13.37165813       97.83152582      0.3973053174E-02  0.4639762807E-02  0.1107978284E-04
  -4.019610813       300.0000000       31.05004467      -16.20654573       118.5976860      0.4817579523E-02  0.5633858245E-02  0.1343835106E-04
  -4.014610813       300.0000000       37.63102868      -19.63772207       143.7438070      0.5841045203E-02  0.6841918771E-02  0.1629810411E-04
  -4.009610813       300.0000000       45.59563719      -23.78840112       174.1806055      0.7080996172E-02  0.8310461260E-02  0.1976491212E-04
  -4.004610813       300.0000000       55.22948940      -28.80622350       211.0020558      0.8582702478E-02  0.1009631829E-01  0.2396675417E-04
  -3.999610813       300.0000000       66.87472915      -34.86761517       255.5194223      0.1040067314E-01  0.1226901208E-01  0.2905821135E-04
  -3.994610813       300.0000000       80.94008627      -42.18269365       309.3002784      0.1260043451E-01  0.1491370766E-01  0.3522581740E-04
  -3.989610813       300.0000000       97.91220795      -51.00067382       374.2125940      0.1526060245E-01  0.1813489668E-01  0.4269440565E-04
  -3.984610813       300.0000000       118.3681667      -61.61564839       452.4735899      0.1847527433E-01  0.2206100382E-01  0.5173460176E-04
  -3.979610813       300.0000000       142.9888959      -74.37250232       546.7024592      0.2235675842E-01  0.2685015781E-01  0.6267161864E-04
  -3.974610813       300.0000000       172.5730757      -89.67255101       659.9751514      0.2703864294E-01  0.3269742877E-01  0.7589550851E-04
  -3.969610813       300.0000000       208.0506720      -107.9782548       795.8781167      0.3267918338E-01  0.3984390066E-01  0.9187301510E-04
  -3.964610813       300.0000000       250.4949081      -129.8160398       958.5561209      0.3946495287E-01  0.4858801795E-01  0.1111611401E-03
  -3.959610813       300.0000000       301.1309156      -155.7758388       1152.746883      0.4761465504E-01  0.5929970565E-01  0.1344224895E-03
  -3.954610813       300.0000000       361.3386908      -186.5054535       1383.792350      0.5738294472E-01  0.7243779126E-01  0.1624423927E-03
  -3.949610813       300.0000000       432.6473438      -222.6972570       1657.612999      0.6906404534E-01  0.8857121732E-01  0.1961476881E-03
  -3.944610813       300.0000000       516.7170938      -265.0641672       1980.627993      0.8299491044E-01  0.1084043694      0.2366269530E-03
  -3.939610813       300.0000000       615.3052613      -314.3013540       2359.600907      0.9955768258E-01  0.1328064789      0.2851518303E-03
  -3.934610813       300.0000000       730.2129501      -371.0299997       2801.389248      0.1191813089      0.1628444024      0.3431990083E-03
  -3.929610813       300.0000000       863.2105831      -435.7199087       3312.577556      0.1423424592      0.1998170477      0.4124723750E-03
  -3.924610813       300.0000000       1015.943326      -508.5892163       3898.980494      0.1695664614      0.2452882832      0.4949249662E-03
  -3.919610813       300.0000000       1189.821858      -589.4822087       4565.015780      0.2014299247      0.3011134353      0.5927806077E-03
  -3.914610813       300.0000000       1385.909632      -677.7305216       5312.968364      0.2385681252      0.3694527591      0.7085556693E-03
  -3.909610813       300.0000000       1604.823716      -772.0085227       6142.196127      0.2816920058      0.4527641828      0.8450820762E-03
  -3.904610813       300.0000000       1846.670695      -870.1997044       7048.360512      0.3316214911      0.5537680213      0.1005533566E-02
  -3.899610813       300.0000000       2111.039676      -969.2959418       8022.796372      0.3893430797      0.6753791825      0.1193457888E-02
  -3.894610813       300.0000000       2397.069132      -1065.353503       9052.155248      0.4560993902      0.8206082099      0.1412817867E-02
  -3.889610813       300.0000000       2703.592820      -1153.526793       10118.45608      0.5335153813      0.9924409979      0.1668043588E-02
  -3.884610813       300.0000000       3029.354132      -1228.191960       11199.65056      0.6237595563       1.193716499      0.1964096157E-02
  -3.879610813       300.0000000       3373.262874      -1283.158356       12270.75563      0.7297287160       1.427029196      0.2306540530E-02
  -3.874610813       300.0000000       3734.658949      -1311.949404       13305.52821      0.8552331990       1.694684976      0.2701621509E-02
  -3.869610813       300.0000000       4113.548126      -1308.119936       14278.56848       1.005148845       1.998732535      0.3156333963E-02
  -3.864610813       300.0000000       4510.785728      -1265.569164       15167.65207       1.185495490       2.341077217      0.3678476940E-02
  -3.859610813       300.0000000       4928.199624      -1178.809908       15956.02371       1.403402423       2.723663001      0.4276681681E-02
  -3.854610813       300.0000000       5368.656096      -1043.165248       16634.34988       1.666929981       3.148686493      0.4960404508E-02
  -3.849610813       300.0000000       5836.073478      -854.8803380       17202.03439       1.984732186       3.618790332      0.5739874380E-02
  -3.844610813       300.0000000       6335.376680      -611.1548182       17667.65543       2.365565225       4.137176551      0.6625978363E-02
  -3.839610813       300.0000000       6872.365953      -310.1159352       18048.38061       2.817666848       4.707584461      0.7630055135E-02
  -3.834610813       300.0000000       7453.456826       49.23815060       18368.34950       3.348048842       5.334090901      0.8763549942E-02
  -3.829610813       300.0000000       8085.247606       467.0912912       18656.16022       3.961756035       6.020710757      0.1003747222E-01
  -3.824610813       300.0000000       8773.893818       942.8249340       18941.73451       4.661150105       6.770800318      0.1146160027E-01
  -3.819610813       300.0000000       9524.313579       1474.966197       19252.93850       5.445275938       7.586293913      0.1304340465E-01
  -3.814610813       300.0000000       10339.30167       2061.045678       19612.38107       6.309365131       8.466833119      0.1478671459E-01
  -3.809610813       300.0000000       11218.67467       2697.354977       20034.78904       7.244528104       9.408873440      0.1669022044E-01
  -3.804610813       300.0000000       12158.58811       3378.612761       20525.26975       8.237683778       10.40487035      0.1874597300E-01
  -3.799610813       300.0000000       13151.15118       4097.571802       21078.63696       9.271771759       11.44265069      0.2093808985E-01
  -3.794610813       300.0000000       14184.42002       4844.624220       21679.82244       10.32628248       12.50506574      0.2324189581E-01
  -3.789610813       300.0000000       15242.79123       5607.482724       22305.25573       11.37812171       13.57000243      0.2562370554E-01
  -3.784610813       300.0000000       16307.76101       6371.026366       22924.99124       12.40279575       14.61080263      0.2804140363E-01
  -3.779610813       300.0000000       17358.97576       7117.395228       23505.30777       13.37586516       15.59711002      0.3044589708E-01
  -3.774610813       300.0000000       18375.48209       7826.396950       24011.49821       14.27457216       16.49612954      0.3278341670E-01
  -3.769610813       300.0000000       19337.08472       8476.249362       24410.59541       15.07950959       17.27424322      0.3499853627E-01
  -3.764610813       300.0000000       20225.73121       9044.632608       24673.82875       15.77617457       17.89888116      0.3703767787E-01
  -3.759610813       300.0000000       21026.85460       9509.970221       24778.66240       16.35624672       18.34050364      0.3885279378E-01
  -3.754610813       300.0000000       21730.61241       9852.813920       24710.32007       16.81845215       18.57452124      0.4040487515E-01
  -3.749610813       300.0000000       22332.96124       10057.18294       24462.74837       17.16891934       18.58297361      0.4166694261E-01
  -3.744610813       300.0000000       22836.50012       10111.71187       24039.00792       17.42099092       18.35580857      0.4262621871E-01
  -3.739610813       300.0000000       23251.00598       10010.48926       23451.10809       17.59451275       17.89164678      0.4328525530E-01
  -3.734610813       300.0000000       23593.57334       9753.514206       22719.31804       17.71466300       17.19797284      0.4366187366E-01
  -3.729610813       300.0000000       23888.26342       9346.745836       21870.99679       17.81040171       16.29075005      0.4378786146E-01
  -3.724610813       300.0000000       24165.17259       8801.763508       20938.99503       17.91261766       15.19350588      0.4370645554E-01
  -3.719610813       300.0000000       24458.85639       8135.086609       19959.69670       18.05203819       13.93597529      0.4346872856E-01
  -3.714610813       300.0000000       24806.10314       7367.225459       18970.79574       18.25696713       12.55242028      0.4312909992E-01
  -3.709610813       300.0000000       25243.14276       6521.550211       18008.94226       18.55094135       11.07976554      0.4274031100E-01
  -3.704610813       300.0000000       25802.49384       5623.074151       17107.43444       18.95044927       9.555699399      0.4234833476E-01
  -3.699610813       300.0000000       26509.76999       4697.248848       16294.16534       19.46292257       8.016882512      0.4198780100E-01
  -3.694610813       300.0000000       27380.84917       3768.857812       15590.04002       20.08526590       6.497380962      0.4167856600E-01
  -3.689610813       300.0000000       28419.82055       2861.072275       15008.04762       20.80319736       5.027400532      0.4142398850E-01
  -3.684610813       300.0000000       29618.04094       1994.702025       14553.10382       21.59161066       3.632353890      0.4121126643E-01
  -3.679610813       300.0000000       30954.46507       1187.644306       14222.68193       22.41603755       2.332254680      0.4101386091E-01
  -3.674610813       300.0000000       32397.19725       454.5129060       14008.14552       23.23511126       1.141410084      0.4079566072E-01
  -3.669610813       300.0000000       33906.00514      -193.5783741       13896.60258       24.00375476      0.6837670434E-01  0.4051622584E-01
  -3.664610813       300.0000000       35435.39186      -749.1003047       13873.03880       24.67669143     -0.8838534366      0.4013628600E-01
  -3.659610813       300.0000000       36937.77495      -1208.073847       13922.46214       25.21183420      -1.717468045      0.3962269820E-01
  -3.654610813       300.0000000       38366.36892      -1569.920103       14031.80211       25.57315771      -2.439285305      0.3895226039E-01
  -3.649610813       300.0000000       39677.48751      -1837.192128       14191.34734       25.73277614      -3.060081771      0.3811406095E-01
  -3.644610813       300.0000000       40832.13197      -2015.186673       14395.56619       25.67209883      -3.593844265      0.3711032917E-01
  -3.639610813       300.0000000       41796.87766      -2111.441920       14643.23164       25.38208028      -4.056990668      0.3595597175E-01
  -3.634610813       300.0000000       42544.18625      -2135.142472       14936.85792       24.86269390      -4.467593366      0.3467710517E-01
  -3.629610813       300.0000000       43052.34359      -2096.472642       15281.54571       24.12182870      -4.844621859      0.3330892552E-01
  -3.624610813       300.0000000       43305.24834      -2005.977647       15683.41316       23.17383543      -5.207204087      0.3189322309E-01
  -3.619610813       300.0000000       43292.25505      -1874.001743       16147.84622       22.03793994      -5.573895628      0.3047578091E-01
  -3.614610813       300.0000000       43008.21237      -1710.266076       16677.81855       20.73670690      -5.961945856      0.2910382272E-01
  -3.609610813       300.0000000       42453.74196      -1523.625456       17272.50360       19.29468744      -6.386559732      0.2782361435E-01
  -3.604610813       300.0000000       41635.69371      -1322.007431       17926.33491       17.73732906      -6.860169141      0.2667827797E-01
  -3.599610813       300.0000000       40567.61111      -1112.499304       18628.58429       16.09017574      -7.391742952      0.2570584926E-01
  -3.594610813       300.0000000       39269.97291      -901.5201647       19363.44405       14.37834675      -7.986175738      0.2493758693E-01
  -3.589610813       300.0000000       37769.96646      -695.0031112       20110.53828       12.62625740      -8.643799106      0.2439652920E-01
  -3.584610813       300.0000000       36100.60735      -498.5192788       20845.76015       10.85753168      -9.360057493      0.2409628363E-01
  -3.579610813       300.0000000       34299.14516      -317.2961315       21542.33421       9.095050078      -10.12538441      0.2404003923E-01
  -3.574610813       300.0000000       32404.86185      -156.1113107       22172.02456       7.361069621      -10.92530805      0.2421980935E-01
  -3.569610813       300.0000000       30456.53478      -19.07379800       22706.43598       5.677344298      -11.74080823      0.2461595161E-01
  -3.564610813       300.0000000       28489.94888       90.66838581       23118.37042       4.065164747      -12.54893919      0.2519706041E-01
  -3.559610813       300.0000000       26535.86119       171.2337673       23383.20028       2.545235402      -13.32372311      0.2592037386E-01
  -3.554610813       300.0000000       24618.73240       222.2552800       23480.20205       1.137324628      -14.03730422      0.2673285819E-01
  -3.549610813       300.0000000       22756.36939       245.0026300       23393.77097     -0.1403358462      -14.66133347      0.2757311108E-01
  -3.544610813       300.0000000       20960.42315       242.3310644       23114.42223      -1.271866808      -15.16852849      0.2837415176E-01
